"","Tg","WT","Proportion_WT","Proportion_Tg","Odds_WT","Odds_Tg","Odds_Ratio","OR_CI_Low","OR_CI_High","p_value","Adjusted_p_value"
"Effector",129,225,0.130966239813737,0.0934782608695652,0.150703281982585,0.103117505995204,0.684241939781508,0.544130002994755,0.86043230400672,0.0103,0.02575
"CD103+ Trm",206,266,0.154831199068685,0.149275362318841,0.183195592286501,0.175468483816014,0.957820445491924,0.786155301648224,1.16697044957774,0.7052,0.7052
"CD103- Trm",917,1084,0.630966239813737,0.664492753623188,1.70977917981073,1.98056155507559,1.15837271763646,0.998391368911265,1.34398933599329,0.2194,0.27425
"Trmprol",50,83,0.0483119906868452,0.036231884057971,0.0507645259938838,0.037593984962406,0.740556209801612,0.517565335979959,1.05962177478007,0.1616,0.269333333333333
"Tcm",78,60,0.0349243306169965,0.0565217391304348,0.0361881785283474,0.0599078341013825,1.65545314900154,1.17324148000505,2.33585768594485,0.0036,0.018
