Sample name,Brain_3xTg,Brain_WT,Meninges_3xTg,Meninges_WT
Effector,55,61,74,164
CD103+ Trm,60,107,146,159
CD103- Trm,451,179,466,905
Trmprol,35,14,15,69
Tcm,11,29,67,31
Total,612,390,768,1328
