"","Tg","WT","Proportion_WT","Proportion_Tg","Odds_WT","Odds_Tg","Odds_Ratio","OR_CI_Low","OR_CI_High","p_value","Adjusted_p_value"
"Effector",55,61,0.156410256410256,0.0898692810457516,0.185410334346505,0.0987432675044883,0.532566147688142,0.360902675295997,0.785881405369935,0.0484,0.0605
"CD103+ Trm",60,107,0.274358974358974,0.0980392156862745,0.378091872791519,0.108695652173913,0.287484762291751,0.203179822124545,0.406770158993857,0.0038,0.0095
"CD103- Trm",451,179,0.458974358974359,0.736928104575163,0.848341232227488,2.80124223602484,3.30202297095666,2.52469366349217,4.31868462237272,0,0
"Trmprol",35,14,0.0358974358974359,0.0571895424836601,0.0372340425531915,0.0606585788561525,1.62911611785095,0.864818552029692,3.06887418084741,0.0885,0.0885
"Tcm",11,29,0.0743589743589744,0.0179738562091503,0.0803324099722992,0.0183028286189684,0.227838659705089,0.112440395584073,0.461670866476074,0.0457,0.0605
