"","Tg","WT","Proportion_WT","Proportion_Tg","Odds_WT","Odds_Tg","Odds_Ratio","OR_CI_Low","OR_CI_High","p_value","Adjusted_p_value"
"Effector",74,164,0.123493975903614,0.0963541666666667,0.140893470790378,0.106628242074928,0.756800449848879,0.566214273245205,1.01153741252197,0.1112,0.1112
"CD103+ Trm",146,159,0.119728915662651,0.190104166666667,0.13601368691189,0.234726688102894,1.72575785152379,1.35100459651494,2.20446338212223,0,0
"CD103- Trm",466,905,0.681475903614458,0.606770833333333,2.13947990543735,1.54304635761589,0.721224982620468,0.599306367674363,0.867945851425575,0.0919,0.1112
"Trmprol",15,69,0.0519578313253012,0.01953125,0.0548054011119936,0.0199203187250996,0.363473641665223,0.206454232572284,0.639914651006843,0.0132,0.022
"Tcm",67,31,0.0233433734939759,0.0872395833333333,0.0239013107170393,0.0955777460770328,3.99884956973908,2.58689627422905,6.18146078785784,0,0
