Feature	564426	756945	585688	183411	474280	718644	411378	371027	430472	304833	729287	543188	116843	626401	864533	408786	269072	704538	13553	119620	142031	131630	81649	653805	212903	257604	553717	634078	504924	453751	846196	711918	508816	38747	619572	338409	43422	437402	12447	877576	635263	368750	621037	593270	438164	306977	85402	451711	254277	657505	69952	26693	867044	808381	624847	851649	629154	264261	276298	729720	730315	471063	314963	221822	246861	755446	620607	576938	20774	154558	52203	257700	795061	749509	46444	374585	116787	182898	512587	468657	427143	804231	13663	574730	512981	192563	543123	48604	183794	267519	105845	852142	89812	306197	216738	50847	333132	463689	48316	212750	698036	162389	20060	846211	576224	414507	463698	53046	40183	688955	124251	579211	19343	350952	161388	408638	184372	151544	329330	58763	829703	154087	613637	113037	185639	756459	655338	508417	700987	525108	434895	528662	93697	375440	26701	214240	128875	658883	212403	768556	760943	833630	842594	728081	340892	101764	767862	538144	43380	199228	868228	302656	280109	660076	516107	861639	85740	266144	761561	845500	699637	170137	214558	517760	484109	23103	320247	762770	137389	607360	751610	204315	665301	252862	161806	163377	71549	580098	81080	622975	348279	93226	626202	709117	286841	292777	539403	141083	370772	602263	567497	411636	715901	104941	765083	221610	373981	859971	584059	26527	289602	416262	780207	61960	698677	16205	199131	33693	301033	744009	341693	596186	119867	99995	276199	273258	438531	114134	672962	508847	469327	343003	52626	394522	619392	663299	92416	77530	592631	232821	291133	670522	189085	480806	454709	251160	52030	257283	584594	88158	98628	164221	753401	675427	237246	119283	114294	382487	65422	458795	67512	420169	225030	167625	845918	669063	713611	853004	667845	758627	505065	329159	324734	323264	864729	792166	95898	316466	281119	565798	782716	252690	209981	262504	611133	437221	427790	843605	872079	565807	61688	643703	453662	199459	644335	111532	796391	728296	390376	236767	56955	759136	563851	500495	322713	318754	538436	647571	858286	200143	451598	846775	852547	573601	742282	2096	48710	128540	721745	486221	453547	742977	264469	398197	508278	309749	726561	458241	714893	748846	469387	8222	11538	395377	205550	118825	211495	773064	367423	62083	549713	573730	730517	820155	229292	769827	583182	741474	171116	859540	568381	842691	798001	21045	92605	269115	348227	271572	270155	795016	845033	133599	81131	81609	11775	723394	785999	305189	176220	469694	351182	687857	204251	665525	879674	680073	325514	380447	109964	811486	708580	270861	485389	618571	504711	189687	861658	128617	524365	227904	751043	380325	808702	805844	354604	354607	278175	693179	679694	528327	187183	420867	805845	210015	381986	259761	404448	880894	675358	211471	126216	659611	508221	252199	209070	781932	687341	514664	747910	847003	498496	534552	154733	759710	308850	233698	196712	754063	610136	729631	406995	119170	337750	132368	215378	108484	270965	72765	243542	301866	620787	7571	246920	255353	111216	852478	596439	205650	530577	490412	175066	188777	819388	624184	611814	61207	196750	830879	556835	150580	67392	883373	876415	245857	13216	321631	69544	257634	778104	809181	312998	777034	96652	871635	180725	180967	831262	591777	58493	681051	55355	369226	489201	812592	579294	267788	346320	368240	161536	476517	160719	475668	608866	228667	83609	324623	576616	603935	388847	288799	873881	498689	135013	134510	72349	83246	130643	67520	596644	121104	312409	780316	140791	759113	843931	671197	509167	592660	295939	487659	114763	650395	620357	531398	78210	402499	783355	336673	584433	289039	18919	880680	798249	884407	74357	409174	426714	57086	405160	70313	533773	746883	769324	608463	676890	370320	864540	789799	331982	430992	610496	143718	285250	67175	486884	303346	713974	72567	40818	786070	69192	469790	245222	382484	830512	505417	880014	129679	128877	740499	528875	272871	724023	409850	697960	407974	751122	458864	195671	9206	840787	127066	250036	722625	34370	772030	416482	877211	729978	822684	222047	73563	132690	688360	110851	601103	338786	235215	312506	421234	235046	421944	438988	416661	312101	259484	858321	438943	761876	368333	673185	308113	295504	435470	602732	648875	214286	448541	67962	390042	882374	148552	241476	160161	711654	656219	846152	380881	655805	177251
2D UMAP 1	8.4084	7.93953	8.29192	7.98417	8.18792	8.42737	8.24461	7.82944	8.34148	7.9286	7.84245	8.57033	9.51371	7.93945	8.66059	8.3185	9.42942	10.2749	8.34042	9.342	8.47042	9.38003	9.77342	10.9941	10.377	8.91334	8.13499	13.1504	8.71802	8.97479	9.47539	8.53999	8.63308	9.6662	10.632	8.41096	8.66297	8.57305	9.22204	9.92248	8.14052	9.16666	13.1879	10.5745	10.1222	8.74342	9.04953	8.40957	9.85682	8.7486	9.67749	9.75838	9.25937	9.83507	9.40352	8.11172	8.55824	8.86411	8.87623	12.1868	8.0098	9.02409	10.151	8.88269	13.1059	8.74208	10.5286	9.60596	11.8149	13.0184	11.6427	12.9141	10.3652	8.50856	8.98955	10.0538	12.9696	10.6975	9.83798	9.22628	11.4649	11.7334	9.97185	10.9772	13.1654	10.3517	9.56202	8.27307	12.1778	11.0677	12.0425	10.6373	9.81238	13.2576	8.92025	11.6084	7.93201	10.3168	9.60134	11.6392	10.335	8.89594	10.0771	12.4013	9.72348	11.5822	8.61151	10.0859	10.498	12.1969	11.3041	11.9385	11.3632	8.80742	9.16634	12.1657	11.8231	9.29872	8.24521	10.5303	10.6312	9.6081	11.8568	12.2659	9.8264	11.4729	12.3013	11.6675	10.0255	10.5593	8.79239	10.2881	12.8152	9.85396	11.3258	13.0713	11.0786	10.0253	12.4048	12.4217	11.6737	13.4108	10.7616	10.2787	10.0369	10.1367	11.0035	10.8937	10.3708	13.1556	8.89307	12.212	12.2309	9.66691	8.2999	12.7812	10.7772	9.3034	12.0558	10.5128	10.6329	10.0868	12.4753	11.615	10.6271	7.89207	12.5923	9.16934	10.815	12.4011	13.2502	13.2501	11.7985	13.1107	13.0744	11.7906	12.3932	11.6513	9.2257	10.3904	12.1321	11.299	11.9071	12.7281	11.3747	11.8189	10.6629	10.4521	11.0618	12.6193	10.0755	11.8716	13.0655	10.8304	10.8188	12.0942	11.1877	9.11094	11.3385	8.71391	11.3599	11.1573	11.2111	13.1316	10.8848	12.2356	11.6313	12.0975	11.3474	11.7289	8.88175	11.0978	11.0103	7.88262	11.0283	12.0479	10.2668	13.2226	9.77269	11.3491	12.3906	9.2599	12.697	9.57082	12.2489	11.3948	12.5191	8.06878	9.53335	12.269	12.7083	12.4813	12.6978	11.046	12.0717	11.4757	12.624	10.827	13.2428	11.9156	12.6392	11.091	11.7916	12.2915	12.3276	11.6755	11.6891	9.03978	13.1225	9.18561	12.9409	10.1335	12.9506	12.9272	12.8934	12.1159	12.6769	12.0023	12.632	11.345	8.0287	11.8597	12.1421	11.5268	11.8568	11.3088	8.03148	11.1	12.5323	11.891	8.52764	12.0056	12.1321	13.0768	11.8096	12.102	9.12704	12.2507	9.20964	12.0477	12.5361	9.36832	12.6583	12.7644	9.15248	12.5568	12.3415	11.1264	12.3166	8.47096	9.46605	8.37543	8.66314	8.2717	8.97157	8.18978	8.72122	8.42919	8.46808	8.05416	8.10058	7.81883	10.2536	9.66533	8.40367	10.0432	9.58976	8.61988	10.0126	8.054	8.25732	12.5642	7.89867	8.60121	9.15237	11.0231	8.40449	8.81811	9.82013	8.67884	12.9342	8.81429	7.95965	10.2167	9.20315	9.50292	8.82886	9.71687	8.4261	13.1722	10.6424	9.81211	11.2617	10.7625	7.90862	11.4483	10.0635	8.64904	9.00953	7.86229	7.93703	10.8106	10.2156	10.5509	9.71831	10.36	12.2033	8.53347	12.9009	10.2029	8.04591	9.06903	9.14535	10.4102	13.0844	8.73919	10.0097	8.76657	11.6719	9.0458	13.2924	11.2394	10.6585	9.48696	13.1606	10.2907	11.3435	10.1019	8.41625	9.90823	11.108	12.5576	10.1296	11.1068	10.3636	8.394	10.102	10.5282	11.1936	9.38124	10.8469	13.1662	10.3693	11.9003	12.2554	11.8092	10.5821	8.66962	13.1143	10.6273	9.8414	11.3947	12.6958	8.14818	13.1174	8.24654	12.221	10.3891	11.1862	9.49757	9.02895	11.7801	10.7787	10.9469	12.2813	11.4983	11.3454	10.6255	9.35586	8.79389	11.1252	11.6061	13.1793	7.90594	8.39261	10.4261	8.91171	13.3469	11.0612	12.1158	11.8742	12.127	9.82887	10.2732	11.8527	10.5861	8.12106	13.1575	12.2044	8.95693	11.4862	10.5434	11.5887	10.5047	12.7716	11.7255	10.5958	11.012	9.54973	9.94866	9.79913	12.2555	11.762	10.2018	13.1404	11.3116	13.0266	11.7907	12.7592	11.1896	10.178	8.78926	12.4816	13.0862	12.3249	11.2623	11.175	12.307	12.5141	10.47	12.9705	11.9779	12.9306	13.1101	11.4042	12.3134	11.5712	11.9461	9.40177	12.1913	10.2108	9.44851	10.892	11.6989	12.6317	12.16	12.4038	13.2546	7.92453	9.37579	11.5358	12.8437	12.7775	10.4434	9.44839	12.1502	12.0724	10.9863	11.0456	13.3219	10.4432	11.5343	11.1136	12.0194	11.7774	9.6661	12.108	9.25646	11.4675	8.09598	10.7522	12.8745	11.2958	10.4744	10.7588	11.3466	12.351	12.8957	11.6359	13.0888	10.7292	11.6375	11.5737	11.5319	11.4352	11.5725	9.27358	12.4511	12.9217	12.5272	11.1035	9.49222	12.6691	12.5511	8.00424	12.2447	11.7072	11.2333	12.703	10.5982	12.2702	11.3245	11.3755	10.7761	10.5361	9.96852	11.4234	9.87815	11.5426	12.7043	12.294	9.07543	9.0105	12.2645	9.76373	12.5405	11.4559	10.8647	10.2883	12.057	8.54082	12.0726	12.8608	9.68027	10.9589	11.6565	11.768	8.65796	8.67971	8.44543	8.11783	8.96387	11.4253	10.9104	12.4026	11.3823	12.9284	8.92419	12.4239	12.0004	10.2446	11.2419	12.341	10.9043	10.0675	12.2781	13.1867	8.83433	8.16976	8.75466	9.26278	12.8895	12.2324	10.7538	8.11325	7.98951	11.7535	11.2838	12.1135	10.8015	11.0845	11.2847	10.38	12.1266	11.6733	8.40637	12.2917	12.5772	12.7185	8.94327	12.3599	9.21982	12.4147	11.5183	12.379	11.7153	12.134	11.411	10.1533	11.9699	11.8334	11.53	13.0723	12.9076	8.10569	11.1563	11.8354	10.1904	9.02789	11.0271
2D UMAP 2	-2.82116	-1.37873	-2.5412	-1.70739	-2.14722	-2.77258	-2.14381	-1.30306	-2.77208	-1.07913	-1.38063	-2.78167	-2.82763	-1.81562	-2.81067	-1.36524	-2.89671	-2.32367	-2.02083	-2.37561	-1.84357	-2.82302	-2.2421	-2.73339	-2.78343	-2.1701	-0.633513	-3.13039	-0.83366	-1.37972	-2.15299	-1.16293	-1.42537	-2.58678	-2.9077	-0.629904	-1.3282	-1.82346	-2.60589	-2.92978	-0.211715	-2.0697	-3.13883	-2.93232	-1.15611	-2.27934	-1.02124	-0.0986815	-2.22168	-2.68952	-1.63889	-1.42462	-1.74799	-2.29659	-0.633193	-0.640122	-0.901659	-1.18697	-1.17158	-2.64392	0.382798	-1.58219	-2.02582	-0.332144	-2.60164	-0.827992	-2.05774	-0.344162	-0.949881	-2.85535	-2.53407	-2.35918	-2.18776	-1.32758	-0.775008	-2.60126	-2.6159	-1.10769	0.106655	-1.58176	-2.95537	-2.42663	-2.56598	-1.78454	-2.26434	-1.47052	-1.18568	0.252317	-2.01051	-2.79859	-2.7103	-1.64714	-0.577693	-2.82845	-0.777571	-1.46423	-0.0330246	-1.95069	-1.7167	-2.62305	-0.968444	-0.684063	0.563331	-2.00453	-0.199368	-2.34115	0.642158	-1.59742	-1.9727	0.28009	0.311341	-2.2182	0.226701	-1.06621	-1.64209	-1.60679	-2.61155	-0.957137	-0.985015	0.303018	-2.77182	-1.09576	-2.80179	-2.47223	-1.41172	-0.528096	-1.17948	-1.32838	-0.162404	-1.35806	-2.25595	-0.329419	-2.79791	-0.885198	-0.403354	-0.847871	-0.632735	-0.674547	-1.82086	-2.18416	-0.248656	-2.63444	-0.779487	-2.66732	-2.45898	-1.75574	-0.565635	-1.02954	-2.28277	-0.343269	-2.0999	-1.55944	-1.41252	-0.578856	0.555975	-0.781699	-1.57129	-2.07297	-2.71098	-0.131011	-1.45797	0.509081	-1.69545	-1.21435	-0.932702	0.667975	-1.88679	-0.863482	-1.48702	-0.426582	-0.657246	-1.57241	-2.12953	-1.27511	-0.16658	-1.05076	-0.412812	0.241147	-1.37202	-1.68052	-1.35241	0.323213	0.234621	0.0149613	-0.753512	-1.61803	-1.83284	-0.336591	0.0649117	-0.0475777	-2.26867	-2.00966	-0.51177	0.00700421	-1.44225	-1.3617	-1.63229	0.354359	-0.533766	0.0229464	-0.838236	-0.676875	-0.24935	-1.06933	-0.581211	-0.374941	-2.38776	-1.37729	-0.918024	0.116459	-0.286251	0.127818	-0.926093	0.567953	-1.31521	-0.0365264	-0.260744	-2.29821	0.303005	-1.18692	0.10271	0.684703	-2.96025	0.236352	-1.52536	-1.95141	-0.0527917	0.58198	0.60951	-1.03953	-0.207305	-2.37796	-2.8643	-1.68182	0.307877	-0.37945	-1.53547	0.284013	-0.923591	-1.04208	-0.501781	-2.18963	-0.802469	-0.770282	0.365103	0.0179782	-2.38792	0.567681	-0.687825	-0.826885	-0.536589	-0.13617	-1.82079	-0.959633	-1.0254	-0.580758	-0.89643	-1.21774	-0.494097	-1.18108	0.760063	-0.372473	-1.02823	-0.0381377	0.121191	-0.886617	0.612082	-0.1511	-0.744427	-0.337578	0.653023	-0.199304	-1.21899	-1.13814	-1.54774	-1.09333	0.132814	-0.248111	-0.813231	-0.259674	-1.18001	0.272943	-0.524369	-0.67376	-0.414123	-1.90507	-0.835057	0.0645384	-0.238267	0.490268	-2.76815	-2.74233	-2.77563	-2.40076	-2.89027	-1.95465	-1.33666	-2.79428	-2.77382	-1.66358	-1.4326	-1.20253	-2.61541	-1.86221	-2.62158	-3.17533	-2.10528	-2.81016	-2.20451	-0.987788	-1.9926	-2.81014	-1.3478	-2.40539	-2.18954	-2.84414	-0.555818	-0.671092	-2.62035	-1.57164	-1.33869	-2.45663	0.746514	-1.4996	-1.9693	-0.680669	-2.19994	-2.00908	-1.48091	-3.05155	-2.58793	-1.75998	-2.26371	0.0364321	-0.938732	-2.12076	-2.33185	-1.1559	-1.28433	-0.412661	-0.59382	-2.32107	-2.09479	-2.47364	-1.9709	-1.3738	0.172464	-2.40919	-1.72624	-3.00228	-0.86035	-0.698566	-1.07624	-2.29317	-0.145575	-1.03679	-2.44647	-0.718091	-1.98653	-0.435912	-2.6243	-2.70043	-2.35586	-2.76178	-2.54058	-2.06353	-1.85665	-1.48069	-1.37768	-1.81449	-0.432776	-2.16466	-2.62366	-0.577953	-2.40272	-0.646363	-0.616517	-1.74394	-1.68655	0.325862	-0.878611	-3.01705	-1.55514	-1.97058	-2.34159	-3.12224	0.17123	-0.24637	-2.5401	-0.920543	-1.60007	-2.54693	-1.00217	0.370407	-1.3154	0.320689	0.230241	-1.77114	-0.836226	-1.60558	-1.89689	-2.49317	-1.97983	-1.56196	-0.00678391	-1.65582	-1.93701	-2.68986	-0.489785	-0.810689	-1.85647	-0.919745	-0.777498	0.703666	0.304675	-1.66702	-1.02305	-2.35485	-0.145006	-1.93499	-2.14337	-1.50339	0.123062	-0.262847	-1.30241	-0.589414	0.229765	-2.95907	-0.432701	-0.236643	-1.45287	-0.892417	0.328641	-0.758231	-0.254584	-0.417634	-0.130428	-2.18818	-0.702629	-1.10664	-1.87378	-2.1062	-0.384814	-0.545373	-0.295808	-0.0157291	-2.58475	-1.83314	-1.44	-2.07285	-1.69477	-0.170255	-1.4754	-2.24212	-2.38061	-2.63783	-1.48928	-1.87066	-1.03072	-0.63066	-0.360674	-1.56409	-2.8083	-2.65409	-0.361127	-2.52733	-0.944262	-1.95658	-0.111718	-1.84106	-0.919829	-0.931603	-0.804236	0.26371	0.0749463	-1.36164	-0.869428	-3.07077	0.391484	-0.818446	-1.91776	-2.69169	-2.34477	-1.29655	-1.5079	-0.156366	-0.935234	-1.40933	-0.494748	-2.6068	-1.92878	-1.78664	-0.886909	-0.749048	-2.05739	-1.49063	-1.83782	-0.399369	-1.05268	0.538813	-1.05018	-1.47153	-2.29784	-0.632994	-0.380233	0.104817	0.214652	-2.10377	-2.23893	-0.837745	-1.18052	-1.03025	-1.34955	-1.23416	-0.339301	-1.56712	-1.56977	-1.33015	-2.81546	-0.99015	-1.20633	-0.685229	-1.17913	-1.28744	0.576867	-0.983056	-0.931307	-2.034	-1.8916	-0.497826	-0.958449	-1.81368	-0.502397	-1.91186	-1.42917	-0.309226	-0.38667	-0.419765	-0.930701	-1.59033	-0.562911	0.570112	-0.0805073	-2.55041	-0.446185	-0.424544	-0.379313	-1.2415	-1.57117	-0.632285	0.553581	-1.19837	-1.3488	0.184977	-1.32936	-1.41168	-1.79667	0.233031	-0.696739	0.617397	0.471918	-0.616006	-0.551347	-0.096306	-0.756416	-1.42599	-2.30731	0.187026	-2.04381	-0.595693	0.255953	-1.90208	-0.493375	0.0242212	-1.25023	-0.581713	-2.16423	-0.658362	0.496368	-2.10359	0.315541	-2.74552	-0.881718	-0.791212	0.659069	0.551003	-1.07056	-0.779496	-1.12922	0.0610367	0.385472	0.0196266	-0.194092	-0.23803	-0.588562	0.761904	-0.933269	-0.697172	-0.693145	0.321642	-0.0260776	0.274518	-0.107228	-1.24258	-0.343258	-0.662334	-0.48487	-0.259582	0.346276	-0.867532	-0.604265	0.105082	-1.89652	-1.93489	0.664643	0.366783	-0.837823	0.251619	0.424343	-0.648655
3D UMAP 1	3.49814	3.27028	3.51157	3.09415	3.32992	3.64688	3.09447	3.03815	3.39821	3.13794	3.03073	3.68889	3.46113	3.20796	3.50099	3.50017	2.96822	4.20969	3.16807	3.76374	3.20048	2.98888	5.26656	3.48015	3.52324	4.10566	3.0967	4.06011	3.98931	3.86183	3.44787	3.77826	3.5008	3.414	3.75709	4.03487	3.69222	3.17149	3.20005	3.48972	3.43613	3.04737	4.1018	3.79149	3.06288	3.93797	4.30859	3.64959	3.53356	3.67394	4.33975	3.21648	4.07533	3.71455	4.12958	3.38821	3.78713	3.89253	4.17976	3.68545	2.7846	4.53628	4.97392	4.19575	4.25572	4.11689	4.43622	3.56911	4.27444	4.41209	4.53945	4.41685	4.18326	4.08579	4.38499	4.02119	4.02335	3.50711	3.49647	4.26205	3.96814	4.58651	3.05017	3.32648	4.60006	3.38659	4.7624	3.39892	3.78095	3.10341	3.89829	3.35993	4.63127	4.23076	4.42432	4.55473	2.83539	4.69893	4.10701	4.37869	4.18182	4.14672	3.1067	4.16947	3.66829	3.46432	2.94175	3.25084	5.14154	3.50002	4.87034	3.5742	3.77521	4.23333	4.60621	3.53607	3.75801	4.55506	3.72414	4.36771	4.1789	4.50788	3.83687	3.76544	4.81914	4.27972	5.08164	4.81191	4.82188	4.70837	4.35958	4.77672	4.13182	3.50649	3.88746	5.058	3.372	5.13707	3.70526	4.1746	4.24136	4.39856	4.33468	3.50267	3.61203	4.81305	4.49029	3.45565	3.28452	5.52967	4.4359	5.20956	3.8196	4.18121	3.09079	4.24705	3.65458	4.46352	3.72971	4.37297	3.32033	3.25914	5.69778	5.00846	4.74474	3.07188	3.76623	4.4018	4.55892	5.10348	4.54114	4.51056	4.09642	3.93622	5.62128	4.15622	4.24547	4.65687	4.37078	4.79492	3.6303	4.86176	5.18044	5.58777	5.28453	4.97184	4.17744	4.94585	5.28902	4.15051	3.93419	5.05449	5.12476	4.6062	3.85215	3.71402	3.72715	3.62903	5.05694	3.59954	4.83447	4.22156	3.72504	5.77274	4.64681	4.3316	3.69531	4.24905	3.62051	3.71926	3.88943	5.24053	4.32664	3.01435	4.21308	5.15868	4.31763	4.42142	3.70028	4.0176	5.59479	3.0486	4.28072	5.21225	4.01524	5.69429	5.58197	2.88945	3.12441	4.38513	3.8496	3.99508	4.0336	5.35646	4.14905	4.5908	4.25612	3.73562	5.20372	4.88777	5.10466	5.42384	4.74159	5.22111	5.03921	4.8402	5.14946	3.30332	5.37611	4.50913	5.48286	4.67437	4.66056	4.64459	4.65908	4.66235	4.85503	4.60033	5.20548	4.39087	3.04907	4.66563	4.45263	4.58065	4.64809	3.94099	2.90838	4.68871	4.28629	4.64336	3.04937	4.98642	5.12159	4.95196	4.86663	5.10302	3.75732	5.20918	4.14725	5.20362	4.68187	3.9473	4.31818	4.85454	4.31837	4.49994	5.02651	5.16456	4.63495	3.28697	3.48038	3.31307	3.43181	3.40375	3.3703	3.13617	3.83902	3.40571	3.44556	3.36813	3.30384	3.09949	4.05392	4.1075	3.42842	3.28338	3.54274	3.68742	3.4135	3.2246	3.23797	3.96813	3.15605	4.2873	4.34238	3.37224	3.94161	3.73132	3.78459	3.69117	5.15511	3.70382	2.97189	3.0079	4.2583	4.42988	4.15358	3.4639	3.74098	4.13707	5.23366	4.04435	5.26925	4.26925	3.11942	4.19057	3.60039	3.99916	4.10466	2.88069	3.16159	5.04883	4.78966	4.616	3.62839	4.05575	4.31922	4.04379	4.94161	3.90183	3.40393	4.50259	3.88154	3.44114	5.5874	4.26741	3.67201	4.23435	3.83578	3.9349	4.38273	3.27578	3.11461	3.26142	4.32803	4.0705	5.5722	4.49883	3.58315	3.43015	3.42526	3.55126	4.01868	4.27005	3.18749	3.97894	4.78568	3.8919	5.14688	3.15904	4.15071	4.17901	3.98232	4.32501	3.79153	3.58956	4.39671	3.86965	4.09586	3.99005	4.37079	3.41261	4.04005	2.84879	3.71435	2.88625	4.38638	4.60106	4.44631	4.00043	4.58027	3.756	3.3496	4.14252	4.31497	5.5843	5.48606	4.2064	4.3243	4.26478	5.69599	5.41473	5.36099	2.9911	3.40319	3.7876	4.25586	4.58414	4.59428	5.19226	4.361	4.68757	4.17472	4.53994	4.72551	4.67511	2.90486	4.17231	4.0923	4.03247	3.44659	4.13184	3.9824	4.08894	3.80891	3.66284	4.10317	5.05061	4.51245	3.33479	3.99013	3.90419	5.536	4.00219	5.48381	3.68347	4.10861	5.23188	5.54774	5.35996	4.4743	3.98844	4.53416	4.49939	3.83323	3.42832	4.69154	4.1807	4.11483	3.80931	5.07662	3.66394	4.18119	4.46146	4.08789	3.73512	5.46279	4.14786	3.57831	3.6447	4.1615	4.684	3.84959	4.4627	5.5836	5.10626	4.66869	4.178	3.04351	4.1583	5.61476	4.33934	4.41117	4.42906	4.51021	4.55944	4.35136	4.75518	3.44766	4.3044	5.0192	5.62428	4.50351	4.77158	4.48876	4.15804	5.50174	4.14287	5.4417	3.02457	3.58769	4.84097	3.17829	4.09012	4.27898	4.33025	5.1553	4.60224	5.09574	5.0852	4.68175	3.86855	5.08091	5.39915	4.02126	3.98644	4.18045	4.16564	4.17076	5.09551	4.99825	4.18629	5.20867	4.51172	2.87278	4.57746	5.59912	5.43391	4.64191	4.50181	5.08486	5.68378	4.69035	5.20619	4.75053	4.71217	4.16582	4.74456	5.18063	5.07893	4.54367	3.49591	3.86662	3.70903	4.56446	4.74668	4.72259	3.51489	4.20993	4.69729	3.27815	4.75486	5.74122	3.89871	4.75628	5.3447	5.52653	3.50379	4.08211	3.14515	3.09057	4.36691	3.78145	5.00338	4.38898	4.4531	4.32699	3.56929	4.06028	4.57207	4.15542	5.53191	4.75185	4.7277	4.38912	4.55436	4.63784	4.25585	2.99277	4.39787	3.91556	4.29159	4.71739	4.22796	3.03141	2.9432	5.4742	4.53349	4.74173	4.01505	4.5155	4.85144	4.86668	4.53407	4.76264	2.97803	4.70942	5.00531	4.79923	3.55009	4.97316	3.86774	4.96235	4.09645	4.87981	4.98339	5.14312	4.44819	3.48786	5.107	5.42465	4.55583	4.51244	4.45238	3.03958	4.55159	4.94784	3.83148	3.60377	4.99517
