"PCA1","PCA2","PCA3","PCA4","PCA5","UMAP1","UMAP2","cell_id"
-15.6327,10.9606,20.0154,-8.67669,-13.8041,11.6427,-2.53407,"X52203"
-26.9787,58.1034,-44.645,12.0753,-13.1071,12.9141,-2.35918,"X257700"
-11.2522,28.7258,7.48946,-30.5277,11.1241,10.3652,-2.18776,"X795061"
-23.5373,-30.363,44.8779,36.8628,-30.3323,8.50856,-1.32758,"X749509"
-24.2267,-23.4123,15.7578,-18.4322,14.6632,8.98955,-0.775008,"X46444"
-5.47213,1.37982,37.7274,-33.3818,-0.460265,10.0538,-2.60126,"X374585"
-23.8909,30.8843,-32.007,-12.8367,-39.1823,12.9696,-2.6159,"X116787"
-25.2178,24.7234,4.13706,-37.316,27.0688,10.6975,-1.10769,"X182898"
-19.0895,2.86696,-36.4766,-9.79841,45.739,9.83798,0.106655,"X512587"
-8.07685,-20.3096,16.0376,-29.5034,-21.5408,9.22628,-1.58176,"X468657"
-25.7587,37.2725,-2.99878,-30.3267,6.06056,11.4649,-2.95537,"X427143"
-4.52808,10.7341,1.58633,-25.395,-19.178,11.7334,-2.42663,"X804231"
-26.5729,17.6638,18.2579,-35.627,19.9811,9.97185,-2.56598,"X13663"
-30.6403,6.61299,-0.50441,-17.2477,44.2196,10.9772,-1.78454,"X574730"
-16.9546,41.8256,-41.1147,16.817,9.05297,13.1654,-2.26434,"X512981"
-20.3239,34.1012,-12.658,-34.4884,-14.9775,10.3517,-1.47052,"X192563"
-27.0061,-23.0749,19.3791,-18.6118,-2.78766,9.56202,-1.18568,"X543123"
-42.1896,-45.5096,-35.885,-19.9872,30.4836,8.27307,0.252317,"X48604"
-0.0505543,44.7019,19.2713,-0.122264,-5.15081,12.1778,-2.01051,"X183794"
-2.5947,12.363,11.9653,-18.8544,13.0083,11.0677,-2.79859,"X267519"
-14.2722,34.0005,-11.8874,-15.9236,-6.51214,12.0425,-2.7103,"X105845"
-20.5735,31.1407,-7.38367,-21.3034,30.83,10.6373,-1.64714,"X852142"
-15.645,-10.4015,-18.0979,-19.046,-17.1826,9.81238,-0.577693,"X89812"
-7.19404,51.1356,-55.2174,9.27148,-20.9321,13.2576,-2.82845,"X306197"
-19.0856,-45.741,10.4382,-14.3235,-3.88207,8.92025,-0.777571,"X216738"
-3.42129,16.4785,-8.81503,2.86548,40.9237,11.6084,-1.46423,"X50847"
-24.6374,-13.2918,-17.783,-18.992,1.0961,7.93201,-0.0330246,"X333132"
-22.5902,-9.25107,12.4155,-33.0164,-20.3191,10.3168,-1.95069,"X463689"
-4.73432,-14.8244,32.3848,-31.1697,-2.91071,9.60134,-1.7167,"X48316"
-25.6005,35.7935,14.2585,-15.4796,-26.7069,11.6392,-2.62305,"X212750"
-28.5426,14.4547,23.703,-20.8147,18.5522,10.335,-0.968444,"X698036"
-38.1551,-32.2766,-0.462788,-19.2229,6.86522,8.89594,-0.684063,"X162389"
-7.19491,-4.91912,-42.3888,-25.9659,17.4835,10.0771,0.563331,"X20060"
-6.684,37.8162,-25.1945,16.3955,-19.1601,12.4013,-2.00453,"X846211"
-8.36521,-5.46502,-1.43243,-30.4285,21.7389,9.72348,-0.199368,"X576224"
-5.23532,45.3455,-10.0356,-7.11571,13.0359,11.5822,-2.34115,"X414507"
-5.03093,-24.5884,-27.9351,-23.8893,13.9703,8.6115100000000009,0.642158,"X463698"
-6.56599,6.66543,5.04109,-36.139,0.373303,10.0859,-1.59742,"X53046"
-16.5783,-10.1669,27.6466,-17.1617,-38.5381,10.498,-1.9727,"X40183"
-7.04478,10.9682,21.5658,-15.1509,23.2202,12.1969,0.28009,"X688955"
-2.12067,15.649,10.0008,-21.6611,7.11081,11.3041,0.311341,"X124251"
5.11327,18.426,11.2461,-9.2939,-15.4095,11.9385,-2.2182,"X579211"
4.60933,25.0882,-9.88524,30.435,13.3823,11.3632,0.226701,"X19343"
-10.0919,-33.4462,13.6645,-28.6931,-3.74271,8.80742,-1.06621,"X350952"
-3.96385,-19.9382,31.2798,-5.69938,0.656694,9.16634,-1.64209,"X161388"
-2.88504,29.4576,6.80042,-15.1114,2.13683,12.1657,-1.60679,"X408638"
-15.8135,40.1721,-2.69371,-13.2432,-7.3944,11.8231,-2.61155,"X184372"
19.1656,-39.6317,40.8,-2.05209,-19.4918,9.29872,-0.957137,"X151544"
-7.4187,-48.9689,5.01741,-12.017,-22.472,8.24521,-0.985015,"X329330"
-12.0093,-3.08103,18.2337,-13.2619,8.07597,10.5303,0.303018,"X58763"
3.03868,5.5129,20.4594,-24.1928,-12.169,10.6312,-2.77182,"X829703"
-6.98876,-18.2328,41.6474,-17.2476,-6.44364,9.6081,-1.09576,"X154087"
-0.290516,34.382,-8.80996,-4.0113,4.76147,11.8568,-2.80179,"X613637"
4.49975,26.8851,-7.93642,38.3045,4.55891,12.2659,-2.47223,"X113037"
2.65678,-12.0859,13.2108,-23.4331,2.76704,9.8264,-1.41172,"X185639"
-4.1582,17.3212,30.5813,-11.8616,-13.8267,11.4729,-0.528096,"X756459"
-7.30887,-2.87987,25.9428,-31.8462,5.26079,12.3013,-1.17948,"X655338"
9.15793,5.40593,11.8329,-27.5301,8.4497,11.6675,-1.32838,"X508417"
-7.55716,-21.4527,8.87707,-5.58541,1.88057,10.0255,-0.162404,"X700987"
5.20052,0.877302,3.61331,-29.5122,4.86508,10.5593,-1.35806,"X525108"
-26.4117,-6.84931,38.0644,12.6497,-17.3938,8.79239,-2.25595,"X434895"
8.86481,-20.848,29.7124,-14.0603,5.322,10.2881,-0.329419,"X528662"
-9.0315,31.7915,-55.5685,5.77677,-18.9741,12.8152,-2.79791,"X93697"
-8.69201,4.50458,14.8959,-20.459,16.7934,9.85396,-0.885198,"X375440"
1.53222,20.9382,-12.1739,8.63088,6.12771,11.3258,-0.403354,"X26701"
6.54716,27.122,5.23719,8.58777,24.3489,13.0713,-0.847871,"X214240"
1.24429,15.9449,16.6573,1.70391,18.3308,11.0786,-0.632735,"X128875"
-11.1565,-3.48755,21.3668,-2.16009,0.6323,10.0253,-0.674547,"X658883"
